Song,Artist,Endurance_Score,Predicted_Endurance_Score,Entry_Position,Peak_Position,Total_Weeks,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Movies_TV_feature_count,Oscars_won,Artist_lifetime_grammy_achievement,Artist_grammy_wins,Artist_grammy_nominations,artist popularity,TopSongsArtist,TopSongsArtist10,TopSongsArtist100,Entry_Year,days_before_charting,Age_Percentage_15_30
Let's Get It Started,BLACK EYED PEAS,0.896178998,0.8697870940000001,52,21,20,0.784,0.8109999999999999,11.0,-2.218,0.13699999999999998,0.0983,0.0,0.18600000000000003,0.804,104.97,217213.0,4.0,1,0,0,6,15,80.0,0,3,2,2004,46,20.9
All The Things She Said,TATU,0.9004950359999999,0.8174898070000001,85,20,20,0.52,0.848,5.0,-5.756,0.0483,0.0356,0.00761,0.105,0.402,179.97799999999998,214440.0,4.0,0,0,0,0,0,63.0,0,0,1,2003,138,20.9
Who I Am,JESSICA ANDREWS,0.821485125,0.78760817,79,28,20,0.419,0.6709999999999999,7.0,-5.364,0.0312,0.0125,0.0,0.115,0.311,83.90799999999999,255234.0,4.0,0,0,0,0,0,43.0,0,0,1,2001,68,20.9
Pass The Dutchie,MUSICAL YOUTH,0.8289632370000001,0.794925068,80,10,18,0.8,0.428,7.0,-14.283,0.0978,0.42700000000000005,0.0,0.5,0.966,149.846,204733.0,4.0,1,0,0,0,1,51.0,0,1,0,1982,85,27.1
I'll Never Find Another You,SEEKERS,0.8346708159999999,0.7954941090000001,135,4,14,0.5670000000000001,0.672,10.0,-7.666,0.0336,0.75,0.0837,0.36700000000000005,0.79,126.509,162320.0,4.0,0,0,0,0,0,51.0,0,1,1,1965,79,21.7
We Danced,BRAD PAISLEY,0.831841143,0.7969780259999999,71,29,20,0.596,0.465,9.0,-8.511000000000001,0.0253,0.385,0.0,0.106,0.141,73.013,225680.0,4.0,0,0,0,3,18,74.0,0,0,33,2000,110,20.9
Lucky Man,"EMERSON, LAKE AND PALMER",0.8215468690000001,0.7017397670000001,92,48,12,0.34600000000000003,0.379,7.0,-15.662,0.0304,0.0914,0.0566,0.0486,0.478,154.01,275920.0,3.0,0,0,0,0,0,56.0,0,0,3,1971,72,24.7
Personal Jesus,DEPECHE MODE,0.879551454,0.8030122759999999,97,28,20,0.637,0.682,11.0,-11.625,0.0366,0.0112,0.0234,0.0473,0.7140000000000001,129.983,224907.0,4.0,0,0,0,0,5,77.0,0,1,14,1989,103,23.9
Till I'm Gone,TINIE TEMPAH featuring WIZ KHALIFA,0.8398873459999999,0.8342835009999999,96,90,4,0.723,0.8909999999999999,5.0,-4.31,0.131,0.122,0.0,0.379,0.884,163.995,213766.0,4.0,0,0,0,0,0,75.0,0,0,1,2011,95,20.9
I Don't Wanna Be In Love (Dance Floor Anthem),GOOD CHARLOTTE,0.8639051090000001,0.872965013,88,25,21,0.64,0.884,6.0,-2.609,0.0428,0.0226,0.0,0.187,0.573,124.96799999999999,244000.0,4.0,1,0,0,0,0,72.0,0,0,4,2007,84,20.9
Fine Again,SEETHER,0.85646933,0.85468472,72,61,20,0.429,0.855,6.0,-2.947,0.0298,0.00044100000000000004,0.0188,0.209,0.337,175.554,245594.0,4.0,0,0,0,0,0,75.0,0,0,6,2002,119,20.8
Elvira,OAK RIDGE BOYS,0.8106590490000001,0.83167785,78,5,22,0.825,0.27399999999999997,2.0,-17.42,0.033,0.196,0.000778,0.0581,0.775,127.29899999999999,225627.0,4.0,0,0,0,5,23,55.0,0,1,0,1981,46,27.3
For You,KEITH URBAN,0.806485798,0.81598542,97,55,18,0.41600000000000004,0.747,11.0,-7.752999999999999,0.0519,0.0116,0.000124,0.0625,0.304,170.107,289560.0,4.0,0,0,0,4,18,78.0,0,0,30,2012,61,20.9
Hey Daddy (Daddy's Home),USHER featuring PLIES,0.8012443359999999,0.8931734579999999,80,24,19,0.59,0.698,11.0,-4.262,0.0286,0.000176,0.0,0.107,0.35200000000000004,95.975,224093.0,4.0,0,0,0,8,22,85.0,0,0,1,2010,67,20.9
He Didn't Have To Be,BRAD PAISLEY,0.820204555,0.761213678,83,53,5,0.47600000000000003,0.44299999999999995,9.0,-7.563,0.0282,0.105,7.97e-06,0.12300000000000001,0.165,72.888,282227.0,4.0,0,0,0,3,18,74.0,0,0,33,1999,54,21.0
If I Lose Myself,ONEREPUBLIC,0.884612834,0.864134475,89,76,4,0.484,0.715,2.0,-6.005,0.0478,0.0923,0.0,0.11199999999999999,0.313,140.07299999999998,241640.0,4.0,0,0,0,0,1,88.0,0,2,9,2013,95,20.9
Last Train Home,LOSTPROPHETS,0.817311114,0.754052628,75,75,6,0.483,0.787,4.0,-5.01,0.0301,0.0007030000000000001,3.35e-06,0.257,0.185,102.374,275173.0,4.0,0,0,0,0,0,53.0,0,0,1,2004,96,20.9
She Is Love,PARACHUTE,0.8507315520000001,0.79173091,98,66,7,0.622,0.175,6.0,-9.866,0.156,0.6829999999999999,0.0,0.109,0.376,136.365,146067.0,1.0,0,0,0,0,0,67.0,0,0,1,2009,94,21.0
Baby By Me,50 CENT featuring NE-YO,0.869291076,0.84520281,31,28,13,0.642,0.8320000000000001,8.0,-4.691,0.10800000000000001,0.00725,0.00526,0.0352,0.358,190.097,213360.0,4.0,0,0,0,1,14,85.0,0,0,1,2009,65,21.0
"You're Gonna Go Far, Kid",THE OFFSPRING,0.87311144,0.8498140829999999,96,63,18,0.546,0.905,0.0,-3.103,0.0671,0.00511,0.0,0.21100000000000002,0.598,126.12,177827.0,4.0,0,0,0,0,0,80.0,0,0,4,2008,51,21.0
Bring It On Home To Me,SAM COOKE,0.8754995190000001,0.796855015,94,13,13,0.523,0.402,0.0,-8.232999999999999,0.0305,0.778,0.0,0.43200000000000005,0.675,70.863,162533.0,4.0,1,0,1,0,6,73.0,0,3,17,1962,46,20.2
Anna-Molly,INCUBUS,0.8565165109999999,0.829502359,66,66,9,0.451,0.973,8.0,-2.611,0.0514,0.00428,7.36e-06,0.0924,0.628,151.885,225880.0,4.0,0,0,0,0,1,76.0,0,1,3,2006,87,21.0
Lullaby,SHAWN MULLINS,0.813243261,0.792518981,12,7,18,0.626,0.731,7.0,-8.0,0.0455,0.0211,0.00231,0.249,0.545,79.971,329867.0,4.0,0,0,0,0,1,48.0,0,1,0,1998,74,20.9
Our Lips Are Sealed,THE GO-GO'S,0.809421122,0.783388064,105,20,33,0.62,0.8190000000000001,8.0,-8.789,0.05,0.0162,0.0,0.0412,0.9640000000000001,131.22299999999998,165627.0,4.0,0,0,0,0,0,55.0,0,0,2,1981,57,27.3
Brave,SARA BAREILLES,0.913816387,0.924317871,100,23,41,0.551,0.836,10.0,-3.838,0.0524,0.00502,2.1e-05,0.0425,0.758,185.063,220573.0,4.0,0,0,0,0,6,74.0,0,0,3,2013,74,20.9
Bright Lights,MATCHBOX TWENTY,0.816360235,0.870924292,73,23,21,0.319,0.732,4.0,-4.475,0.0436,0.0134,0.0,0.6579999999999999,0.2,80.195,234427.0,4.0,1,0,0,0,4,73.0,0,2,5,2003,57,20.9
Don't Stop,FLEETWOOD MAC,0.826132717,0.8744913590000001,72,3,18,0.672,0.72,9.0,-7.781000000000001,0.035,0.0373,9.38e-06,0.0371,0.828,118.73100000000001,193347.0,4.0,4,0,0,2,7,83.0,0,4,11,1977,100,27.3
Let's Hear It For The Boy,DENIECE WILLIAMS,0.8291677559999999,0.828305521,56,1,19,0.7829999999999999,0.573,7.0,-8.521,0.0462,0.177,8.499999999999999e-05,0.043,0.789,122.744,261893.0,4.0,0,0,0,4,13,57.0,1,0,2,1984,53,26.6
