Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
I Gotta Feeling,THE BLACK EYED PEAS,2009-06-27,2,1,56
Best I Ever Had,DRAKE,2009-05-23,92,2,24
You Belong With Me,TAYLOR SWIFT,2009-05-16,87,2,49
Knock You Down,KERI HILSON featuring KANYE WEST &amp; NE-YO,2009-04-11,65,3,31
Use Somebody,KINGS OF LEON,2009-02-21,100,4,56
Down,JAY SEAN featuring LIL WAYNE,2009-07-18,72,1,40
Fire Burning,SEAN KINGSTON,2009-05-23,29,5,21
Boom Boom Pow,THE BLACK EYED PEAS,2009-03-28,71,1,33
Lovegame,LADY GAGA,2009-05-09,99,5,21
Good Girls Go Bad,COBRA STARSHIP featuring LEIGHTON MEESTER,2009-06-20,91,7,24
Waking Up In Vegas,KATY PERRY,2009-05-16,65,9,23
I Know You Want Me (Calle Ocho),PITBULL,2009-03-14,66,2,35
Battlefield,JORDIN SPARKS,2009-05-30,32,10,22
Obsessed,MARIAH CAREY,2009-07-25,11,7,21
Hotel Room Service,PITBULL,2009-07-04,63,8,23
Every Girl,YOUNG MONEY,2009-05-23,96,10,20
Birthday Sex,JEREMIH,2009-04-25,91,4,20
Please Don't Leave Me,PINK,2009-05-02,97,17,26
New Divide,LINKIN PARK,2009-06-06,6,6,20
Don't Trust Me,3OH!3,2009-01-03,95,7,36
She Wolf,SHAKIRA,2009-08-01,34,11,20
The Climb,MILEY CYRUS,2009-03-21,6,4,28
Halo,BEYONCE,2009-02-07,93,5,31
You're A Jerk,NEW BOYZ,2009-07-04,32,24,20
Second Chance,SHINEDOWN,2008-12-13,98,7,41
21 Guns,GREEN DAY,2009-07-11,55,22,20
Poker Face,LADY GAGA,2009-01-03,92,1,40
Big Green Tractor,JASON ALDEAN,2009-06-27,85,18,20
Remember Me,T.I. featuring MARY J. BLIGE,2009-08-15,29,29,2
If Today Was Your Last Day,NICKELBACK,2009-05-02,83,19,18
Break Up,MARIO featuring GUCCI MANE &amp; SEAN GARRETT,2009-07-04,98,14,23
No Surprise,DAUGHTRY,2009-05-23,15,15,24
People Are Crazy,BILLY CURRINGTON,2009-05-16,90,27,20
Alright,DARIUS RUCKER,2009-05-30,91,30,20
I'm Yours,JASON MRAZ,2008-05-03,93,6,76
Her Diamonds,ROB THOMAS,2009-06-06,42,23,20
You Found Me,THE FRAY,2008-12-06,28,7,39
Summer Nights,RASCAL FLATTS,2009-06-13,80,37,18
Ego,BEYONCE,2009-06-20,77,39,17
I Run To You,LADY ANTEBELLUM,2009-04-04,100,27,21
That's Not My Name,THE TING TINGS,2009-07-18,45,39,6
Ice Cream Paint Job,DORROUGH MUSIC,2009-06-13,92,27,20
Falling For You,COLBIE CAILLAT,2009-07-18,12,12,31
Wetter (Calling You Daddy),TWISTA,2009-06-20,72,44,15
Pretty Wings,MAXWELL,2009-05-16,89,33,23
Love Story,TAYLOR SWIFT,2008-09-27,16,4,49
Throw It In The Bag,FABOLOUS featuring THE-DREAM,2009-06-20,94,14,23
Never Say Never,THE FRAY,2009-06-27,90,32,20
Love Drunk,BOYS LIKE GIRLS,2009-07-18,46,22,20
Make Her Say,KID CUDI featuring KANYE WEST &amp; COMMON,2009-06-27,51,43,15
So Fine,SEAN PAUL,2009-07-18,61,50,9
Best Days Of Your Life,KELLIE PICKLER,2009-04-25,50,46,20
Here We Go Again,DEMI LOVATO,2009-07-11,51,15,9
American Ride,TOBY KEITH,2009-08-15,54,35,16
Boots On,RANDY HOUSER,2009-06-13,83,53,19
Sexy Bitch,DAVID GUETTA featuring AKON,2009-08-15,56,56,2
Jump,FLO RIDA featuring NELLY FURTADO,2009-08-08,76,54,5
I'm In Miami Trick,LMFAO,2009-06-27,86,51,18
Goodbye,KRISTINIA DeBARGE,2009-05-09,75,15,16
I Need A Girl,TREY SONGZ,2009-06-13,85,59,15
Then,BRAD PAISLEY,2009-04-04,35,28,20
Not Meant To Be,THEORY OF A DEADMAN,2009-04-25,90,55,21
Last Chance,GINUWINE,2009-06-20,95,63,16
Small Town USA,JUSTIN MOORE,2009-06-20,88,44,20
Living For The Night,GEORGE STRAIT,2009-06-27,92,53,17
Sideways,DIERKS BENTLEY,2009-04-18,90,35,20
Out Last Night,KENNY CHESNEY,2009-05-02,100,16,20
Say Hey (I Love You),MICHAEL FRANTI &amp; SPEARHEAD featuring CHERINE ANDERSON,2009-08-08,82,18,20
Wild At Heart,GLORIANA,2009-06-13,82,53,15
I Do Not Hook Up,KELLY CLARKSON,2009-05-02,88,20,18
He Could Be The One,HANNAH MONTANA,2009-07-25,10,10,5
