Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Fallin',ALICIA KEYS,2001-06-16,98,1,34
I'm Real,JENNIFER LOPEZ,2001-07-07,66,1,31
Where The Party At,JAGGED EDGE with ELLY,2001-06-02,64,3,29
Family Affair,MARY J. BLIGE,2001-07-28,76,1,41
Hit 'Em Up Style (Oops!),BLU CANTRELL,2001-05-05,83,2,34
It's Been Awhile,STAIND,2001-04-14,79,5,46
U Remind Me,USHER,2001-06-16,53,1,24
Let Me Blow Ya Mind,EVE featuring GWEN STEFANI,2001-04-28,80,2,33
Izzo (H.O.V.A.),JAY-Z,2001-07-28,59,8,20
Differences,GINUWINE,2001-07-28,79,4,30
Hanging By A Moment,LIFEHOUSE,2001-02-10,76,2,54
Drops Of Jupiter (Tell Me),TRAIN,2001-03-17,77,5,53
You Rock My World,MICHAEL JACKSON,2001-09-08,34,10,20
Someone To Call My Lover,JANET,2001-06-23,76,3,20
Fill Me In,CRAIG DAVID,2001-06-09,69,15,27
Only Time,ENYA,2001-07-14,76,10,31
Turn Off The Light,NELLY FURTADO,2001-08-18,69,5,25
One Minute Man,"MISSY ""MISDEMEANOR"" ELLIOTT",2001-07-14,75,15,21
Living It Up,JA RULE featuring CASE,2001-09-01,78,6,25
Ugly,BUBBA SPARXXX,2001-09-01,98,15,20
Everywhere,MICHELLE BRANCH,2001-09-01,62,12,20
Hero,ENRIQUE IGLESIAS,2001-09-29,44,3,34
Rock The Boat,AALIYAH,2001-09-08,57,14,25
I'm A Thug,TRICK DADDY,2001-07-21,99,17,20
Can't Deny It,FABOLOUS featuring NATE DOGG,2001-07-21,98,25,20
When It's Over,SUGAR RAY,2001-06-02,76,13,22
What's Going On,ALL STAR TRIBUTE,2001-10-06,51,27,10
Peaches & Cream,112,2001-04-14,75,4,29
AM To PM,CHRISTINA MILIAN,2001-08-25,99,27,20
Be Like That,3 DOORS DOWN,2001-07-28,72,24,21
Smooth Criminal,ALIEN ANT FARM,2001-08-25,78,23,20
U Got It Bad,USHER,2001-09-22,93,1,32
Only In America,BROOKS &amp; DUNN,2001-07-21,77,33,20
Where I Come From,ALAN JACKSON,2001-08-25,76,34,20
Drive,INCUBUS,2001-02-17,75,9,39
Feelin' On Yo Booty,R. KELLY,2001-08-25,74,36,19
Emotion,DESTINY'S CHILD,2001-09-29,65,10,20
Angry All The Time,TIM McGRAW,2001-08-18,70,38,20
