Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Mrs. Robinson,SIMON AND GARFUNKEL,1968-04-27,58,1,13
This Guy's In Love With You,HERB ALPERT,1968-05-11,108,1,15
Mony Mony,TOMMY JAMES AND THE SHONDELLS,1968-04-06,95,3,17
Yummy Yummy Yummy,THE OHIO EXPRESS,1968-04-20,110,4,16
MacArthur Park,RICHARD HARRIS,1968-05-11,79,2,13
Tighten Up,ARCHIE BELL AND THE DRELLS,1968-03-30,81,1,15
Think,ARETHA FRANKLIN,1968-05-18,67,7,10
A Beautiful Morning,THE RASCALS,1968-04-13,56,3,13
"The Good, The Bad And The Ugly","HUGO MONTENEGRO, HIS ORCHESTRA AND CHORUS",1968-02-17,97,2,22
The Look Of Love,SERGIO MENDES AND BRASIL '66,1968-05-11,77,4,14
Ain't Nothing Like The Real Thing,MARVIN GAYE &amp; TAMMI TERRELL,1968-04-13,75,8,13
Honey,BOBBY GOLDSBORO,1968-03-23,64,1,15
I Could Never Love Another (After Loving You),THE TEMPTATIONS,1968-05-04,87,13,10
Angel Of The Morning,MERILEE RUSH AND THE TURNABOUTS,1968-04-27,123,7,17
The Horse,CLIFF NOBLES AND CO.,1968-05-25,71,2,14
Delilah,TOM JONES,1968-03-16,97,15,15
Licking Stick - Licking Stick (Part 1),JAMES BROWN AND THE FAMOUS FLAMES,1968-05-25,75,14,8
I Love You,PEOPLE,1968-03-23,129,14,20
Here Comes The Judge,SHORTY LONG,1968-05-25,128,8,12
If I Were A Carpenter,THE FOUR TOPS,1968-04-27,99,20,10
Do You Know The Way To San Jose,DIONNE WARWICK,1968-04-13,84,10,12
Reach Out Of The Darkness,FRIEND AND A LOVER,1968-05-18,97,10,14
Master Jack,FOUR JACKS AND A JILL,1968-03-30,94,18,14
Like To Get To Know You,SPANKY AND OUR GANG,1968-04-13,128,17,12
(You Keep Me) Hangin' On,JOE SIMON,1968-03-30,103,25,17
A Man Without Love (Quando M'innamoro),ENGELBERT HUMPERDINCK,1968-05-11,87,19,9
How'd We Ever Get This Way,ANDY KIM,1968-04-20,130,21,14
Shoo-Be-Doo-Be-Doo-Da-Day,STEVIE WONDER,1968-04-06,74,9,13
Cowboys To Girls,THE INTRUDERS,1968-03-23,87,6,14
Tip-Toe Thru' The Tulips With Me,TINY TIM,1968-05-18,83,17,9
She's Lookin' Good,WILSON PICKETT,1968-04-13,66,15,10
I Will Always Think About You,THE NEW COLONY SIX,1968-03-02,129,22,17
Soul Serenade,WILLIE MITCHELL,1968-02-24,115,23,17
Choo Choo Train,THE BOX TOPS,1968-06-01,62,26,8
Never Give You Up,JERRY BUTLER,1968-05-04,91,20,14
Does Your Mama Know About Me,BOBBY TAYLOR AND THE VANCOUVERS,1968-04-06,127,29,12
Take Time To Know Her,PERCY SLEDGE,1968-03-16,74,11,14
Jumpin' Jack Flash,THE ROLLING STONES,1968-06-08,62,3,12
She's A Heartbreaker,GENE PITNEY,1968-04-27,129,16,15
"Face It Girl, It's Over",NANCY WILSON,1968-04-27,117,29,16
Time For Livin',THE ASSOCIATION,1968-05-11,104,39,9
I'm Sorry,THE DELFONICS,1968-04-27,92,42,9
The Happy Song (Dum-Dum),OTIS REDDING,1968-04-27,87,25,8
I Wanna Live,GLENN CAMPBELL,1968-04-06,88,36,12
Lady Willpower,GARY PUCKETT AND THE UNION GAP,1968-06-08,64,2,13
United,PEACHES AND HERB,1968-05-18,89,46,8
Yester Love,SMOKEY ROBINSON AND THE MIRACLES,1968-06-01,73,31,8
