Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Judy In Disguise (With Glasses),JOHN FRED AND HIS PLAYBOY BAND,1967-11-11,133,1,18
Chain Of Fools,ARETHA FRANKLIN,1967-12-09,66,2,12
Hello Goodbye,THE BEATLES,1967-12-02,45,1,11
"Woman, Woman",THE UNION GAP featuring GARY PUCKETT,1967-11-11,128,4,18
Green Tambourine,THE LEMON PIPERS,1967-12-02,116,1,15
Daydream Believer,THE MONKEES,1967-11-11,101,1,13
"Bend Me, Shape Me",THE AMERICAN BREED,1967-11-11,129,5,17
I Second That Emotion,SMOKEY ROBINSON AND THE MIRACLES,1967-11-04,85,4,15
I Heard It Through The Grapevine,GLADYS KNIGHT AND THE PIPS,1967-10-14,111,2,18
If I Could Build My Whole World Around You,MARVIN GAYE &amp; TAMMI TERRELL,1967-12-02,65,10,11
Honey Chile,MARTHA REEVES AND THE VANDELLAS,1967-11-18,65,11,12
Skinny Legs And All,JOE TEX,1967-10-28,93,10,15
Susan,THE BUCKINGHAMS,1967-12-09,74,11,12
Different Drum,THE STONE PONEYS featuring LINDA RONSTADT,1967-11-04,122,13,18
Monterey,ERIC BURDON AND THE ANIMALS,1967-12-09,119,15,10
Spooky,THE CLASSICS IV,1967-12-09,113,3,17
Nobody But Me,THE HUMAN BEINZ,1967-11-18,101,8,18
Boogaloo Down Broadway,THE FANTASTIC JOHNNY C.,1967-09-23,114,7,20
Who Will Answer,ED AMES,1967-12-16,74,19,8
"Baby, Now That I've Found You",THE FOUNDATIONS,1967-12-09,106,11,15
Itchycoo Park,THE SMALL FACES,1967-10-28,116,16,19
Goin' Out Of My Head / Can't Take My Eyes Off You (Medley),THE LETTERMEN,1967-12-09,87,7,15
Tell Mama,ETTA JAMES,1967-11-11,98,23,14
Come See About Me,JR. WALKER AND THE ALL STARS,1967-11-25,86,24,11
Am I That Easy To Forget,ENGELBERT HUMPERDINCK,1967-12-16,89,18,10
My Baby Must Be A Magician,THE MARVELETTES,1967-12-16,78,17,11
Love Power,THE SANDPEBBLES,1967-11-25,73,22,12
I Can't Stand Myself (When You Touch Me),JAMES BROWN AND THE FAMOUS FLAMES,1967-12-09,85,28,9
Darlin',THE BEACH BOYS,1967-12-23,82,19,9
She's A Rainbow,THE ROLLING STONES,1967-12-30,77,25,7
Two Little Kids,PEACHES AND HERB,1967-12-16,90,31,8
Best Of Both Worlds,LULU,1967-12-16,75,32,10
Explosion (In My Soul),THE SOUL SURVIVORS,1967-12-23,79,33,8
It's Wonderful,THE YOUNG RASCALS,1967-12-09,68,20,7
Next Plane To London,THE ROSE GARDEN,1967-09-30,116,17,17
Summer Rain,JOHNNY RIVERS,1967-11-18,81,14,10
Skip A Rope,HENSON CARGILL,1967-12-09,120,25,14
I Wonder What She's Doing Tonite,TOMMY BOYCE &amp; BOBBY HART,1967-12-09,103,8,16
To Give (The Reason I Live),FRANKIE VALLI,1967-12-23,121,29,9
Love Me Two Times,THE DOORS,1967-12-09,75,25,7
Tomorrow,THE STRAWBERRY ALARM CLOCK,1967-12-30,80,23,10
Just As Much As Ever,BOBBY VINTON,1967-12-30,83,24,8
Everybody Knows,THE DAVE CLARK FIVE,1967-12-16,86,43,8
The Lesson,VICKI CARR,1967-12-23,84,34,8
I Wish It Would Rain,THE TEMPTATIONS,1968-01-13,56,4,14
You Better Sit Down Kids,CHER,1967-10-28,79,9,13
Love Is Blue,PAUL MAURIAT AND HIS ORCHESTRA,1967-12-23,119,1,20
Bottle Of Wine,THE FIREBALLS,1967-12-23,114,9,15
Some Velvet Morning,NANCY SINATRA &amp; LEE HAZELWOOD,1968-01-06,72,26,8
I'm In Love,WILSON PICKETT,1967-12-02,82,45,10
Sunday Morning,SPANKY AND OUR GANG,1968-01-06,86,30,8
Dear Eloise,THE HOLLIES,1967-11-25,113,50,9
Windy,WES MONTGOMERY,1967-11-18,107,44,12
We Can Fly,THE COWSILLS,1968-01-13,81,21,9
You,MARVIN GAYE,1968-01-13,83,34,7
Good Combination,SONNY AND CHER,1967-12-16,79,56,6
I'm Coming Home,TOM JONES,1967-12-23,101,57,6
Back Up Train,AL GREENE AND THE SOUL MATE'S,1967-12-02,115,41,13
Money,LOVIN' SPOONFUL,1968-01-06,85,48,6
No Sad Songs,JOE SIMON,1967-12-30,105,49,8
Storybook Children,BILLY VERA &amp; JUDY CLAY,1967-11-25,105,54,10
We Are A Winner,THE IMPRESSIONS,1967-12-23,105,14,14
Lost,JERRY BUTLER,1967-12-16,121,62,8
New Orleans,NEIL DIAMOND,1968-01-06,98,51,6
Zabadak,"DAVE DEE, DOZY, BEAKY, MICK AND TICH",1967-12-30,111,52,7
I Can Take Or Leave Your Loving,HERMAN'S HERMITS,1968-01-13,82,22,11
Born Free,THE HESITATIONS,1968-01-06,100,38,10
Pick Up The Pieces,CARLA THOMAS,1967-12-30,82,68,6
Carmen,HERB ALPERT AND TIJUANA BRASS,1968-01-13,86,51,6
"Oh, How It Hurts",BARBARA MASON,1967-12-23,98,59,9
Up-Up And Away,HUGH MASEKELA,1967-12-09,86,71,8
Dancing Bear,THE MAMAS AND THE PAPAS,1967-12-09,96,51,7
Sunshine Of Your Love,CREAM,1968-01-06,114,36,15
A Working Man's Prayer,ARTHUR PRYSOCK,1967-12-30,107,74,7
Do Unto Me,JAMES AND BOBBY PURIFY,1968-01-06,122,73,7
I Was Made To Love Her,KING CURTIS AND THE KINGPINS,1967-12-30,86,76,6
(Theme From) Valley Of The Dolls,DIONNE WARWICK,1968-01-20,77,2,13
Mission-Impossible,LALO SCHIFRIN,1968-01-06,90,41,14
Words,THE BEE GEES,1968-01-20,79,15,11
Strawberry Shortcake,JAY AND THE TECHNIQUES,1968-01-20,80,39,6
There Was A Time,JAMES BROWN AND THE FAMOUS FLAMES,1968-01-20,81,36,8
There Is,THE DELLS,1968-01-13,108,20,12
A Man Needs A Woman,JAMES CARR,1968-01-06,97,63,10
(1-2-3-4-5-6-7) Count The Days,INEZ AND CHARLIE FOXX,1967-12-16,122,76,8
Hey Little One,GLEN CAMPBELL,1968-01-20,85,54,7
I'll Be Sweeter Tomorrow (Than I Was Today),THE O'JAYS,1967-11-25,97,66,9
A Little Rain Must Fall,THE EPIC SPLENDOR,1967-12-09,108,87,8
Let The Heartaches Begin,LONG JOHN BALDRY,1967-12-30,118,88,5
Cross My Heart,BILLY STEWART,1967-11-04,123,86,13
United (Part 1),THE MUSIC MAKERS,1967-12-23,107,78,8
Looking For A Fox,CLARENCE CARTER,1968-01-20,91,62,8
Hey Boy Take A Chance On Love,RUBY ANDREWS,1967-12-23,111,92,5
Without Love (There Is Nothing),OSCAR TONEY JR.,1968-01-06,106,90,5
Give My Love A Try,LINDA JONES,1967-12-23,108,93,7
"Up Tight, Good Man",LAURA LEE,1967-12-16,112,93,7
To Each His Own,FRANKIE LAINE,1968-01-06,124,82,8
Blessed Are The Lonely,ROBERT KNIGHT,1968-01-06,118,86,7
Expecting To Fly,THE BUFFALO SPRINGFIELD,1967-12-23,123,98,5
Funky Way,CALVIN ARNOLD,1968-01-13,100,72,8
Come Rain Or Come Shine,RAY CHARLES,1968-01-20,100,98,2
Something's Missing,THE FIVE STAIRSTEPS AND CUBIE,1967-11-25,114,88,10
Mellow Moonlight,LEON HAYWOOD,1967-12-09,114,92,8
I Call It Love,THE MANHATTANS,1967-12-23,97,96,5
7:30 Guided Tour,THE FIVE AMERICANS,1967-12-23,120,96,7
I Wish I Had Time,THE LAST WORD,1967-12-30,117,105,4
Big Daddy,BOOTS RANDOLPH,1967-12-30,108,105,4
Camelot,KING RICHARD'S FLUEGEL KNIGHTS,1968-01-13,120,107,2
Malayisha,MIRIAM MAKEBA,1968-01-20,108,85,4
Birds Of A Feather,JOE SOUTH,1968-01-13,115,106,6
Love Explosion,TROY KEYES,1968-01-20,110,92,7
Still Burning In My Heart,THE DRIFTERS,1968-01-06,123,111,3
Break My Mind,BOBBY WOOD,1968-01-06,117,110,5
It's A Gas,THE HOMBRES,1968-01-13,114,113,2
It's Not Easy,THE WILL-O-BEES,1968-01-13,117,95,6
Simon Says,1910 FRUITGUM CO.,1968-01-20,115,4,15
