Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
96 Tears,? (QUESTION MARK) AND THE MYSTERIANS,1966-08-27,112,1,16
Last Train To Clarksville,THE MONKEES,1966-09-03,101,1,16
Reach Out I'll Be There,THE FOUR TOPS,1966-09-03,82,1,15
Poor Side Of Town,JOHNNY RIVERS,1966-09-17,90,1,15
Walk Away Renee,THE LEFT BANKE,1966-08-27,122,5,15
Dandy,HERMAN'S HERMITS,1966-10-01,89,5,11
What Becomes Of The Broken Hearted,JIMMY RUFFIN,1966-08-20,87,7,17
Hooray For Hazel,TOMMY ROE,1966-09-10,123,6,14
"Have You Seen Your Mother, Baby, Standing In The Shadow",THE ROLLING STONES,1966-10-08,40,9,7
See See Rider,ERIC BURDON AND THE ANIMALS,1966-09-10,114,10,11
If I Were A Carpenter,BOBBY DARIN,1966-09-24,81,8,11
Go Away Little Girl,THE HAPPENINGS,1966-10-01,80,12,9
Cherish,THE ASSOCIATION,1966-08-27,66,1,14
Psychotic Reaction,COUNT FIVE,1966-08-27,126,5,14
B-A-B-Y,CARLA THOMAS,1966-08-13,132,14,17
I'm Your Puppet,JAMES AND BOBBY PURIFY,1966-09-24,96,6,14
"Cherry, Cherry",NEIL DIAMOND,1966-08-13,131,6,13
(You Don't Have To) Paint Me A Picture,GARY LEWIS AND THE PLAYBOYS,1966-10-08,73,15,8
Love Is A Hurtin' Thing,LOU RAWLS,1966-09-10,99,13,14
The Great Airplane Strike,PAUL REVERE AND THE RAIDERS featuring MARK LINDSEY,1966-10-01,88,20,8
Little Man,SONNY AND CHER,1966-10-01,72,21,7
The Hair On My Chinny Chin Chin,SAM THE SHAM AND THE PHARAOHS,1966-10-01,81,22,8
I've Got You Under My Skin,THE FOUR SEASONS,1966-09-03,83,9,10
Born Free,ROGER WILLIAMS,1966-08-20,128,7,22
You Can't Hurry Love,THE SUPREMES,1966-08-06,126,1,14
Rain On The Roof,THE LOVIN' SPOONFUL,1966-10-15,76,10,10
Devil With A Blue Dress On & Good Golly Miss Molly (Medley),MITCH RYDER AND THE DETROIT WHEELS,1966-10-08,79,4,16
Black Is Black,LOS BRAVOS,1966-08-13,100,4,12
All I See Is You,DUSTY SPRINGFIELD,1966-09-10,112,20,9
I Just Don't Know What To Do With Myself,DIONNE WARWICK,1966-10-01,84,26,8
Coming On Strong,BRENDA LEE,1966-09-17,131,11,15
Girl On A Swing,GERRY AND THE PACEMAKERS,1966-09-10,85,28,9
I Can Make It With You,POZO-SECO SINGERS,1966-09-03,117,32,12
Fa-Fa-Fa-Fa-Fa (Sad Song),OTIS REDDING,1966-09-24,132,29,9
Wipe Out,SURFARIS,1966-07-30,88,16,14
Mr. Spaceman,THE BYRDS,1966-09-24,90,36,7
Beauty Is Only Skin Deep,THE TEMPTATIONS,1966-08-20,80,3,12
Good Vibrations,THE BEACH BOYS,1966-10-22,81,1,14
Who Am I,PETULA CLARK,1966-10-22,70,21,7
All Strung Out,NINO TEMPO &amp; APRIL STEVENS,1966-09-03,102,26,9
I Want To Be With You,DEE DEE WARWICK,1966-08-06,107,41,15
All That I Am,ELVIS PRESLEY,1966-10-08,82,41,8
Come On Up,THE YOUNG RASCALS,1966-09-24,86,43,7
Spinout,ELVIS PRESLEY,1966-10-01,101,40,8
A Satisfied Mind,BOBBY HEBB,1966-10-08,83,39,6
Lady Godiva,PETER AND GORDON,1966-10-08,90,6,14
Mas Que Nada,SERGIO MENDES AND BRASIL '66,1966-09-24,85,47,8
Please Mr. Sun,THE VOGUES,1966-09-17,121,48,9
Secret Love,BILLY STEWART,1966-10-15,73,29,8
Up Tight,RAMSEY LEWIS,1966-10-15,74,49,5
Look Through My Window,THE MAMAS AND THE PAPAS,1966-10-22,65,24,7
Ain't Gonna Lie,KEITH,1966-09-03,133,39,12
I Really Don't Want To Know,RONNIE DOVE,1966-09-03,79,22,9
But It's Alright,J.J. JACKSON,1966-10-01,91,22,13
I Can't Control Myself,THE TROGGS,1966-10-15,85,43,6
Don't Be A Drop-Out,JAMES BROWN AND THE FAMOUS FLAMES,1966-10-08,93,50,7
Changes,CRISPIAN ST. PETERS,1966-09-17,95,57,7
Almost Persuaded No. 2,BEN COLDER,1966-10-01,95,58,6
"Louie, Louie",THE SANDPIPERS,1966-10-22,74,30,7
Nobody's Baby Again,DEAN MARTIN,1966-10-01,126,60,7
Somebody Like Me,EDDY ARNOLD,1966-10-15,88,53,6
Knock On Wood,EDDIE FLOYD,1966-09-10,97,28,17
"Baby, Do The Philly Dog",THE OLYMPICS,1966-09-24,129,63,7
I've Got To Do A Little Bit Better,JOE TEX,1966-10-08,87,64,5
Mind Excursion,THE TRADE WINDS,1966-08-13,134,51,13
Winchester Cathedral,THE NEW VAUDEVILLE BAND,1966-10-29,66,1,15
The Wheel Of Hurt,MARGARET WHITING,1966-09-17,109,26,14
You Keep Me Hangin' On,THE SUPREMES,1966-10-29,68,1,12
Nineteen Days,THE DAVE CLARK FIVE,1966-10-15,110,48,7
I'm Ready For Love,MARTHA AND THE VANDELLAS,1966-10-29,70,9,10
Stay With Me,LORRAINE ELLISON,1966-10-08,92,64,8
Heaven Must Have Sent You,THE ELGINS,1966-09-24,134,50,12
"Don't Worry Mother, Your Son's Heart Is Pure",THE McCOYS,1966-09-24,103,67,6
The Wheel Of Hurt,AL MARTINO,1966-10-15,99,59,8
Somebody (Somewhere) Needs You,DARRELL BANKS,1966-10-08,132,55,9
Stop Stop Stop,THE HOLLIES,1966-10-22,115,7,11
On This Side Of Goodbye,THE RIGHTEOUS BROTHERS,1966-10-29,77,47,6
Take Good Care Of Her,MEL CARTER,1966-10-01,99,78,5
It Tears Me Up,PERCY SLEDGE,1966-10-22,92,20,11
A Symphony For Susan,THE ARBORS,1966-10-15,95,51,10
"Wish You Were Here, Buddy",PAT BOONE,1966-10-01,115,49,11
Holy Cow,LEE DORSEY,1966-10-15,134,23,10
"Run, Run, Look And See",BRIAN HYLAND,1966-10-15,135,25,10
Free Again,BARBRA STREISAND,1966-10-08,101,83,5
A Day In The Life Of A Fool,JACK JONES,1966-10-08,130,62,11
Baby What Do You Want Me To Do,BARBARA LEWIS,1966-10-29,86,74,6
You Are She,CHAD AND JEREMY,1966-10-08,91,87,4
Bang Bang,THE JOE CUBA SEXTET,1966-10-08,116,63,10
Why Pick On Me,THE STANDELLS,1966-10-22,93,54,7
Help Me Girl,THE OUTSIDERS,1966-10-29,90,37,10
Pouring Water On A Drowning Man,JAMES CARR,1966-10-08,129,85,6
Games That Lovers Play,EDDIE FISHER,1966-10-22,116,45,10
Time After Time,CHRIS MONTEZ,1966-10-29,93,36,8
Games That Lovers Play,WAYNE NEWTON,1966-10-15,116,86,7
Cry Softly,NANCY AMES,1966-09-03,124,95,9
Stand In For Love,THE O'JAYS,1966-10-15,106,95,5
Poverty,BOBBY BLAND,1966-10-22,97,97,3
Don't Answer The Door (Part 1),B.B. KING,1966-10-15,108,72,10
Can I Get To Know You Better,THE TURTLES,1966-10-22,131,89,7
I Can Hear Music,THE RONETTES featuring VERONICA,1966-10-22,120,100,3
(When She Needs Good Lovin') She Comes To Me,THE CHICAGO LOOP,1966-10-22,101,37,9
Come Back,THE FIVE STAIRSTEPS,1966-10-29,102,61,7
Whispers (Gettin' Louder),JACKIE WILSON,1966-10-01,127,11,15
Tomorrow Never Comes,B.J. THOMAS,1966-09-10,93,80,8
We Got A Thing That's In The Groove,THE CAPITOLS,1966-10-29,105,65,8
Pipeline,THE CHANTAY'S,1966-10-01,119,106,6
Lookin' For Love,RAY CONIFF AND THE SINGERS,1966-09-24,135,94,8
Respect,THE RATIONALS,1966-10-08,112,92,8
What Now My Love,"RICHARD ""GROOVE"" HOLMES",1966-10-01,98,96,5
Windows And Doors,JACKIE DeSHANNON,1966-10-29,110,108,3
Every Day And Every Night,THE TROLLS,1966-10-15,126,96,3
Meditation (Meditacao),CLAUDINE LONGET,1966-10-29,112,98,5
Fortune Teller,THE HARDTIMERS,1966-10-22,124,109,4
"Theme From ""The Wild Angels""",DAVIE ALLEN AND THE ARROWS,1966-10-29,114,99,5
Society's Child (Baby I've Been Thinking),JANIS IAN,1966-10-22,119,114,4
Wild Thing,THE VENTURES,1966-10-29,116,116,2
Distant Drums,VIC DANA,1966-10-22,125,114,3
The White Cliffs Of Dover,THE RIGHTEOUS BROTHERS,1966-10-15,118,118,3
Fifi The Flea,THE SIDEKICKS,1966-10-29,119,115,4
I (Who Have Nothing),TERRY KNIGHT AND THE PACK,1966-10-22,128,46,13
Talk Talk,THE MUSIC MACHINE,1966-10-29,121,15,14
Shades Of Blue,THE SHIRELLES,1966-10-08,133,122,4
I Wanna Meet You,THE CRYAN' SHAMES,1966-10-15,133,101,4
Winchester Cathedral,THE NEW HAPPINESS,1966-10-29,124,112,4
Winchester Cathedral,DANA ROLLIN,1966-10-29,125,71,7
Clock,EDDIE RAMBEAU,1966-10-22,135,122,3
Wedding Bell Blues,LAURA NYRO,1966-10-22,129,106,6
Hi Hi Hazel,GARY AND THE HORNETS,1966-10-29,128,96,8
The Portuguese Washerwoman,THE BAJA MARIMBA BAND,1966-10-22,126,126,2
Music,THE FESTIVALS,1966-10-29,130,130,1
Am I A Loser (From The Start),EDDIE HOLMAN,1966-10-29,131,116,4
She Digs My Love,THE SIR DOUGLAS QUINTET,1966-10-29,132,132,1
Cabaret,MIKE DOUGLAS,1966-10-29,133,129,3
The Willy,THE WILLIES,1966-10-22,134,113,4
A Man And A Woman,TAMIKO JONES with HERBIE MANN,1966-10-29,135,88,5
