Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Another Brick In The Wall,PINK FLOYD,1980-01-19,77,1,25
Working My Way Back To You,SPINNERS,1979-12-15,82,2,25
Crazy Little Thing Called Love,QUEEN,1979-12-22,58,1,22
Desire,ANDY GIBB,1980-01-26,44,4,15
Call Me,BLONDIE,1980-02-16,80,1,25
Him,RUPERT HOLMES,1980-01-19,72,6,17
Too Hot,KOOL AND THE GANG,1980-01-19,76,5,18
Second Time Around,SHALAMAR,1979-12-08,96,8,23
Ride Like The Wind,CHRISTOPHER CROSS,1980-02-16,61,2,21
How Do I Make You,LINDA RONSTADT,1980-02-02,68,10,16
Special Lady,RAY GOODMAN &amp; BROWN,1980-01-26,89,5,18
Longer,DAN FOGELBERG,1979-12-15,87,2,22
I Can't Tell You Why,EAGLES,1980-02-23,60,8,16
Off The Wall,MICHAEL JACKSON,1980-02-16,53,10,17
Fire Lake,BOB SEGER,1980-02-23,65,6,16
On The Radio,DONNA SUMMER,1980-01-12,86,5,17
With You I'm Born Again,BILLY PRESTON &amp; SYREETA,1979-12-08,98,4,29
Give It All You Got,CHUCK MANGIONE,1980-01-19,89,18,16
Three Times In Love,TOMMY JAMES,1980-01-26,82,19,16
Lost In Love,AIR SUPPLY,1980-02-09,81,3,23
Refugee,TOM PETTY AND THE HEARTBREAKERS,1980-01-26,63,15,14
Sexy Eyes,DR. HOOK,1980-02-16,71,5,21
You May Be Right,BILLY JOEL,1980-03-15,53,7,15
Yes I'm Ready,TERI DE SARIO &amp; KC,1979-11-17,90,2,23
Hold On To My Love,JIMMY RUFFIN,1980-03-01,63,10,14
Heartbreaker,PAT BENATAR,1979-12-15,103,23,19
Do That To Me One More Time,CAPTAIN &amp; TENNILLE,1979-10-20,86,1,27
And The Beat Goes On,WHISPERS,1980-02-09,79,19,15
I Pledge My Love,PEACHES &amp; HERB,1980-01-19,90,19,19
Daydream Believer,ANNE MURRAY,1979-12-22,67,12,17
Pilot Of The Airwaves,CHARLIE DORE,1980-02-23,74,13,17
Come Back,J. GEILS BAND,1980-02-09,71,32,11
Even It Up,HEART,1980-02-09,82,33,12
