Title,Artist,Entry_Date,Entry_Position,Peak_Position,Total_Weeks
Down Under,MEN AT WORK,1982-11-06,79,1,25
The Girl Is Mine,MICHAEL JACKSON / PAUL McCARTNEY,1982-11-06,45,2,18
Dirty Laundry,DON HENLEY,1982-10-30,73,3,19
Maneater,DARYL HALL &amp; JOHN OATES,1982-10-16,65,1,23
Sexual Healing,MARVIN GAYE,1982-10-30,78,3,21
Mickey,TONI BASIL,1982-09-04,83,1,27
Africa,TOTO,1982-10-30,75,1,21
"Baby, Come To Me",PATTI AUSTIN with JAMES INGRAM,1982-10-16,91,1,28
Rock The Casbah,THE CLASH,1982-10-02,90,8,24
Heartbreaker,DIONNE WARWICK,1982-10-09,68,10,22
Gloria,LAURA BRANIGAN,1982-07-10,84,2,36
You And I,EDDIE RABBITT with CRYSTAL GAYLE,1982-10-09,90,7,29
Steppin' Out,JOE JACKSON,1982-08-21,88,6,27
The Other Guy,LITTLE RIVER BAND,1982-11-20,59,11,18
You Can't Hurry Love,PHIL COLLINS,1982-11-06,77,10,21
Shame On The Moon,BOB SEGER AND THE SILVER BULLET BAND,1982-12-18,40,2,21
Heart To Heart,KENNY LOGGINS,1982-11-27,59,15,17
The Look Of Love,ABC,1982-09-11,77,18,25
Goody Two Shoes,ADAM ANT,1982-11-13,85,12,21
Hand To Hold On To,JOHN COUGAR,1982-11-06,72,19,18
You Got Lucky,TOM PETTY AND THE HEARTBREAKERS,1982-11-13,58,20,18
Love In Store,FLEETWOOD MAC,1982-11-27,72,22,14
Allentown,BILLY JOEL,1982-11-27,76,17,22
I Do,THE J. GEILS BAND,1982-11-20,56,24,14
Stray Cat Strut,THE STRAY CATS,1982-12-25,43,3,19
Rock This Town,THE STRAY CATS,1982-09-18,80,9,21
Your Love Is Driving Me Crazy,SAMMY HAGAR,1982-12-11,70,13,19
Truly,LIONEL RITCHIE,1982-10-09,60,1,18
Heart Of The Night,JUICE NEWTON,1982-11-27,73,25,16
"Let's Go Dancin' (Oooh La, La, La)",KOOL AND THE GANG,1982-10-30,79,30,15
Pass The Dutchie,MUSICAL YOUTH,1982-12-11,80,10,18
Shock The Monkey,PETER GABRIEL,1982-10-23,80,29,18
A Penny For Your Thoughts,TAVARES,1982-09-18,78,33,21
What About Me,MOVING PICTURES,1982-09-18,75,29,26
Do You Really Want To Hurt Me,CULTURE CLUB,1982-12-04,80,2,25
Does It Make You Remember,KIM CARNES,1982-11-06,78,36,13
Space Age Love Song,A FLOCK OF SEAGULLS,1982-11-13,83,30,18
Two Less Lonely People In The World,AIR SUPPLY,1982-11-13,72,38,14
Memory,BARRY MANILOW,1982-11-20,79,39,14
Bad Boy,RAY PARKER JR.,1982-12-04,70,35,12
All Those Lies,GLENN FREY,1982-12-11,73,41,12
Put It In A Magazine,SONNY CHARLES,1982-11-13,90,40,14
Twilight Zone,GOLDEN EARRING,1982-11-27,80,10,27
I Gotta Try,MICHAEL McDONALD,1982-11-13,76,44,11
Right Before Your Eyes,AMERICA,1982-11-27,78,45,13
I Knew You When,LINDA RONSTADT,1982-12-11,77,37,12
On The Loose,SAGA,1982-12-04,86,26,18
The Woman In Me,DONNA SUMMER,1982-12-18,78,33,16
You Are,LIONEL RICHIE,1983-01-15,49,4,18
Back On The Chain Gang,THE PRETENDERS,1982-12-11,88,5,24
I Know There's Something Going On,FRIDA,1982-10-23,109,13,31
It's Raining Again,SUPERTRAMP,1982-10-30,31,11,13
Hungry Like The Wolf,DURAN DURAN,1982-12-25,77,3,23
